,file_name,Base,Dopant,Primary Ramp Time,Primary Melt Temp,Primary Melt Time,Secondary Ramp Time,Secondary Melt Temp,Secondary Melt Time,Anneal Ramp Time,Anneal Temp,Anneal Time,Cooling type,Densification Technique,Pure Phase
0,Samyak/1-s2.0-S0022024810008985-main.pdf,CuInSe2,Cd,NA,870,NA,50,1470,NA,10,870,500,NA,NA,0
0,Samyak/1-s2.0-S092151071200270X-main.pdf,AgInTe2,Ag,NA,298,NA,NA,1273,24,NA,773,72,Quenching,HotPress,1
0,Samyak/1-s2.0-S1385894721033842-main.pdf,CuGaTe2,Ni,NA,298,NA,NA,1173,30,NA,927,72,NA,SparkPlasmaSintering,1
0,Samyak/1-s2.0-S1452398123021399-main.pdf,CuGaSe2,Ga,NA,973,94,NA,1353,71,NA,1273,95,NA,NA,0
0,Samyak/1-s2.0-S2352847817300862-main.pdf,CuGaTe2,Fe,NA,298,NA,NA,1173,12,NA,873,12,Room,HotPress,0
0,Samyak/125914182a.pdf,TlGaSe2,Cu,NA,1100,5,NA,1300,5,NA,900,240,NA,NA,0
0,Samyak/acs.chemmater.2c01869.pdf,CuGaTe2,Li,240,673,24,60,1173,24,30,923,96,NA,HotPress,1
0,Samyak/acsami.2c07557-supporting.pdf,CuGaTe2,Ag,NA,298,NA,NA,1273,24,2,923,NA,Furnace,SparkPlasmaSintering,1
0,Samyak/Adv Energy and Sustain Res - 2023 - Zha...,CuGaTe2,Sb,NA,298,NA,NA,1273,12,NA,653,0.083333,Quenching,SparkPlasmaSintering,0
0,Samyak/Adv Material for Optics Elec - 1998 - M...,CuGaSe2,VCu,NA,1423,50,NA,1446,NA,NA,1373,NA,NA,NA,1
0,Samyak/Advanced Materials - 2012 - Plirdpring.pdf,CuGaTe2,Mn,NA,298,NA,NA,1173,NA,NA,773,72,Furnace,HotPress,0
0,Samyak/Aresti_1977_J._Electrochem._Soc._124_76...,CuGaTe2,Cd,NA,298,NA,NA,1160,72,NA,298,NA,Icewaterbath,NA,0
0,Samyak/BF00541585.pdf,CuGaTe2,NA,NA,298,NA,NA,1130,NA,NA,298,NA,NA,NA,0
0,Samyak/BF00541585.pdf,CuGaTe2,NA,NA,298,NA,NA,1130,NA,NA,298,NA,NA,NA,0
0,Samyak/cugase.pdf,CuGaSe2,Mn,NA,1273,4,NA,1373,1,NA,298,NA,Quenching,NA,0
0,Samyak/d0tc00795a.pdf,CuGaTe2,CP,NA,298,NA,180,1273,12,NA,298,NA,NA,HotPress,1
0,Samyak/Zhang-2014-Enhancedthermoelect.pdf,CuGaTe2,Cu2Se,NA,298,NA,NA,859,NA,NA,298,NA,NA,NA,0
0,Andre/1-s2.0-S0925838805012284-main.pdf,AgInSe2,Si,40,40,NA,NA,1270,NA,NA,670,250,Quenching,NA,1
0,Andre/1-s2.0-S1369800115300755-mainext.pdf,AgInSe2,NA,NA,953,24,NA,1213,48,NA,943,NA,860Â°Cand670Â°Calternately,HotPress,1
